Date,P/L,Amt,,
07-04-2016,45702.91,680565.66,,
11-04-2016,2625.845,683191.505,,
12-04-2016,-3505.46,679686.045,,
13-04-2016,-61.5095,679624.5355,,
18-04-2016,-2894.36,676730.1755,,
20-04-2016,-4600,672130.1755,,
21-04-2016,8332.672,680462.8475,,
22-04-2016,-6900,673562.8475,,
25-04-2016,6966.342,680529.1895,,
27-04-2016,-4600,675929.1895,,
28-04-2016,6835.096,682764.2855,,
29-04-2016,-294.732,682469.5535,,
02-05-2016,-1585.72,680883.8335,,
03-05-2016,-9200,671683.8335,,
05-05-2016,3583.617,675267.4505,,
09-05-2016,4057.242,679324.6925,,
10-05-2016,-4600,674724.6925,,
12-05-2016,-698.241,674026.4515,,
13-05-2016,-3049.9,670976.5515,,
16-05-2016,-6900,664076.5515,,
17-05-2016,98.20459,664174.7561,,
18-05-2016,6095.35,670270.1061,,
19-05-2016,-2300,667970.1061,,
20-05-2016,3658.16,671628.2661,,
23-05-2016,24613.81,696242.0761,,
24-05-2016,-4600,691642.0761,,
25-05-2016,-6900,684742.0761,,
26-05-2016,-3400.04,681342.0361,,
27-05-2016,2853.927,684195.9631,,
30-05-2016,1375.629,685571.5921,,
31-05-2016,4806.062,690377.6541,,
01-06-2016,6497.139,696874.7931,,
02-06-2016,-4600,692274.7931,,
03-06-2016,-746.011,691528.7821,,
06-06-2016,-6900,684628.7821,,
07-06-2016,-6900,677728.7821,,
08-06-2016,625.2162,678353.9983,,
09-06-2016,12105.03,690459.0283,,
10-06-2016,-4600,685859.0283,,
14-06-2016,-9200,676659.0283,,
15-06-2016,7794.627,684453.6553,,
17-06-2016,-4600,679853.6553,,
21-06-2016,6068.146,685921.8013,,
22-06-2016,17551.18,703472.9813,,
23-06-2016,16476.54,719949.5213,,
27-06-2016,496.0191,720445.5404,,
28-06-2016,13781.29,734226.8304,,
29-06-2016,-6522.35,727704.4804,,
30-06-2016,2927.362,730631.8424,,
01-07-2016,-2896.8,727735.0424,,
04-07-2016,22276.11,750011.1524,,
05-07-2016,21911.33,771922.4824,,
07-07-2016,25539.49,797461.9724,,
08-07-2016,3532.418,800994.3904,,
11-07-2016,-2679.86,798314.5304,,
12-07-2016,-2499.67,795814.8604,,
13-07-2016,9363.46,805178.3204,,
14-07-2016,4709.984,809888.3044,,
15-07-2016,17538.05,827426.3544,,
18-07-2016,1162.547,828588.9014,,
19-07-2016,-3822.38,824766.5214,,
20-07-2016,-4600,820166.5214,,
21-07-2016,5697.649,825864.1704,,
22-07-2016,21540.79,847404.9604,,
25-07-2016,-2087.96,845317.0004,,
26-07-2016,-6900,838417.0004,,
27-07-2016,25845.53,864262.5304,,
28-07-2016,17160.09,881422.6204,,
29-07-2016,5873.092,887295.7124,,
01-08-2016,16965.39,904261.1024,,
02-08-2016,28730.8,932991.9024,,
03-08-2016,-2300,930691.9024,,
04-08-2016,-1388.52,929303.3824,,
05-08-2016,-6900,922403.3824,,
08-08-2016,1211.161,923614.5434,,
09-08-2016,1630.251,925244.7944,,
10-08-2016,4526.965,929771.7594,,
11-08-2016,-2300,927471.7594,,
16-08-2016,-6900,920571.7594,,
17-08-2016,-6900,913671.7594,,
19-08-2016,-6900,906771.7594,,
23-08-2016,5608.374,912380.1334,,
24-08-2016,-6900,905480.1334,,
25-08-2016,19264.57,924744.7034,,
26-08-2016,-795.568,923949.1354,,
29-08-2016,-9200,914749.1354,,
30-08-2016,-5483.28,909265.8554,,
31-08-2016,21208.2,930474.0554,,
01-09-2016,-1600.8,928873.2554,,
02-09-2016,2354.632,931227.8874,,
06-09-2016,7353.095,938580.9824,,
07-09-2016,19343.8,957924.7824,,
08-09-2016,11569.91,969494.6924,,
09-09-2016,2436.837,971931.5294,,
14-09-2016,-6900,965031.5294,,
15-09-2016,-2300,962731.5294,,
16-09-2016,24376.9,987108.4294,,
19-09-2016,1434.805,988543.2344,,
20-09-2016,2825.321,991368.5554,,
21-09-2016,12716.28,1004084.835,,
22-09-2016,-6462.98,997621.8554,,
23-09-2016,-4600,993021.8554,,
26-09-2016,1052.777,994074.6324,,
27-09-2016,6214.471,1000289.103,,
28-09-2016,1700.16,1001989.263,,
29-09-2016,64627.8,1066617.063,,
30-09-2016,-2300,1064317.063,,
03-10-2016,-6900,1057417.063,,
