Date,Stock,Gap_up,Time,EMA,P/L,Quantity,Margin
14-06-2023,ABFRL,0.012836,9:20:00,212.3644,-2200,931.5789,39703.89
14-06-2023,ZEEL,0.013663,9:25:00,195.4335,-2200,4425,173460
14-06-2023,HINDALCO,0.013289,9:25:00,426.6458,5232.86,1609.091,138027.8
15-06-2023,RAIN,0.020715,9:25:00,169.323,4086.262,2082.353,70654.24
15-06-2023,INDIGO,0.010187,9:25:00,2384.628,-2200,164.6512,78841.56
15-06-2023,PEL,0.010871,9:30:00,804.9358,-2200,536.3636,86354.55
16-06-2023,TORNTPHARM,0.019465,9:20:00,1848.211,-2200,171.0145,63331.8
16-06-2023,OFSS,0.015083,9:20:00,3905.322,2827.654,63.21429,49687.69
16-06-2023,HINDALCO,0.010992,9:20:00,426.0704,-2200,1416,121209.6
16-06-2023,ASHOKLEY,0.014935,9:40:00,162.0459,-2200,2212.5,72083.25
19-06-2023,HAL,0.014123,9:20:00,3895.31,906.1122,55.74803,43620.05
19-06-2023,SHRIRAMFIN,0.051017,9:25:00,1456.415,849.4485,157.3333,46529.76
19-06-2023,MANAPPURAM,0.023962,9:25:00,126.6153,-2200,2528.571,64124.57
19-06-2023,JINDALSTEL,0.025358,9:35:00,566.0035,-2200,513.0435,58440.78
20-06-2023,HDFCAMC,0.075326,9:20:00,1969.932,-2200,94.90617,38367.72
20-06-2023,INDIGO,0.023722,9:20:00,2448.875,684.8099,67.04545,32871.72
20-06-2023,ADANIENT,0.013992,9:40:00,2413.896,561.1783,123.3449,59665.65
21-06-2023,SHRIRAMFIN,0.09999,9:25:00,1688.057,590.2187,90.07634,31406.02
21-06-2023,METROPOLIS,0.012463,9:35:00,1457.792,695.0749,159.4595,46643.49
21-06-2023,PEL,0.078056,9:40:00,927.2389,-2200,270.229,50759.82
22-06-2023,PEL,0.011367,9:20:00,959.5497,3098.096,104.7337,20107.83
22-06-2023,ZEEL,0.025513,9:25:00,182.6363,4026.742,1106.25,40488.75
22-06-2023,SHRIRAMFIN,0.017672,9:35:00,1743.501,10914.39,448.1013,156293.2
26-06-2023,EXIDEIND,0.010538,9:20:00,232.7873,-2200,1685.714,78503.71
26-06-2023,TATACONSUM,0.015639,9:30:00,859.5422,-1014.8,472,81396.4
27-06-2023,ABCAPITAL,0.021793,9:20:00,182.449,-2200,823.2558,30048.84
27-06-2023,HDFCLIFE,0.017057,9:20:00,642.2419,-2200,285.4839,37118.61
27-06-2023,ADANIENT,0.014528,9:20:00,2315.147,4142.965,139.3701,64695.59
27-06-2023,ONGC,0.012428,9:25:00,157.9457,-2200,5900,186676
28-06-2023,MFSL,0.014168,9:20:00,784.5176,-2200,295,46433
28-06-2023,SBIN,0.010864,9:20:00,568.6224,-2200,983.3333,112001.7
28-06-2023,CANFINHOME,0.015254,9:25:00,788.7291,5906.314,722.449,114298.7
28-06-2023,ABFRL,0.011854,9:40:00,213.3592,519.9081,1539.13,65767.04
30-06-2023,POWERGRID,0.025385,9:25:00,254.486,-2200,1685.714,86106.29
30-06-2023,HDFCBANK,0.016615,9:25:00,1685.982,-2200,544.6154,184003.8
30-06-2023,HDFCAMC,0.04878,9:35:00,2229.052,-2200,94.14894,42461.17
03-07-2023,GUJGASLTD,0.042899,9:20:00,478.2292,3740.367,318.9189,31027.62
03-07-2023,GRANULES,0.017178,9:20:00,299.3766,-2200,931.5789,55959.95
04-07-2023,BAJFINANCE,0.043229,9:30:00,7763.967,-2200,62.10526,97511.47
04-07-2023,SBILIFE,0.016988,9:30:00,1302.669,-2200,786.6667,204973.9
04-07-2023,HEROMOTOCO,0.01806,9:35:00,2948.036,-2200,83.29412,49322.61
05-07-2023,LICHSGFIN,0.01999,9:20:00,396.5291,4929.525,737.5,59088.5
06-07-2023,POWERGRID,0.026456,9:25:00,256.1494,-2200,1416,72824.88
06-07-2023,JSWSTEEL,0.015848,9:25:00,795.3436,1042.682,1106.25,176159.3
06-07-2023,BRITANNIA,0.020192,9:40:00,5230.684,3199.031,57.18901,59880.9
07-07-2023,TITAN,0.010816,9:20:00,3154.631,3401.026,76.95652,49052.09
11-07-2023,TATAMOTORS,0.010183,9:20:00,623.5391,-2200,553.125,69229.12
13-07-2023,HINDCOPPER,0.017566,9:20:00,120.2938,-2200,5057.143,122079.4
13-07-2023,ASTRAL,0.014895,9:20:00,1845.156,-2200,157.3333,58117.36
13-07-2023,HDFCBANK,0.014544,9:20:00,1642.146,-2200,406.8966,133950.3
14-07-2023,CHOLAFIN,0.014121,9:20:00,1158.742,-183.896,153.2468,35657.45
14-07-2023,MUTHOOTFIN,0.014986,9:30:00,1294.443,-2200,431.7073,111984.9
14-07-2023,DELTACORP,0.013645,9:40:00,181.131,-2200,2950,107173.5
17-07-2023,DELTACORP,0.01413,9:25:00,185.1112,6564.013,2723.077,100944.5
17-07-2023,MANAPPURAM,0.016413,9:40:00,130.4024,7375.146,7080,184788
18-07-2023,DELTACORP,0.032505,9:20:00,185.5599,-2200,2360,88358.4
18-07-2023,HAVELLS,0.021948,9:30:00,1347.866,3974.813,160.9091,43796.24
19-07-2023,INDUSINDBK,0.028592,9:25:00,1417.849,3301.962,376.5957,107480.4
19-07-2023,POLYCAB,0.014498,9:25:00,4249.748,-970.222,52.44444,45007.82
19-07-2023,NTPC,0.019482,9:35:00,193.8006,-2200,2528.571,98740.71
19-07-2023,HAVELLS,0.014688,9:40:00,1369.469,-2200,247.5524,67970.48
20-07-2023,L&TFH,0.033333,9:20:00,134.5066,3723.434,1141.935,30752.32
20-07-2023,INDHOTEL,0.011868,9:20:00,401.8588,3278.947,842.8571,67782.57
21-07-2023,LT,0.012973,9:25:00,2536.351,-2200,74.68354,38074.42
21-07-2023,SUNTV,0.012264,9:30:00,520.6526,-2200,863.4146,90123.22
24-07-2023,LT,0.019874,9:20:00,2603.145,-2200,137.7432,71875.77
24-07-2023,ASHOKLEY,0.014023,9:20:00,183.994,2145.291,1106.25,40898.06
24-07-2023,CANFINHOME,0.020713,9:25:00,860.8824,-2200,237.5839,41351.48
24-07-2023,PFC,0.013216,9:35:00,234.6706,-2200,1539.13,72600.78
25-07-2023,CANFINHOME,0.022305,9:20:00,893.7741,13293.63,310.5263,55587.32
25-07-2023,TVSMOTOR,0.019815,9:20:00,1317.257,-2200,340.3846,90018.12
25-07-2023,SHRIRAMFIN,0.019262,9:20:00,1803.357,-2200,287.8049,104145.1
25-07-2023,ASHOKLEY,0.015347,9:40:00,183.0804,-2200,4425,162176.2
26-07-2023,INDUSTOWER,0.012806,9:20:00,172.7504,-2200,1685.714,58359.43
26-07-2023,LT,0.011754,9:25:00,2629.566,-2200,101.4327,53811.04
26-07-2023,DELTACORP,0.022463,9:30:00,190.5012,-2200,5057.143,192778.3
27-07-2023,CIPLA,0.043519,9:25:00,1127.666,-2200,152.5862,35096.35
27-07-2023,BAJFINANCE,0.019474,9:30:00,7482.333,-2200,70.8,105959.3
27-07-2023,COLPAL,0.027288,9:35:00,1962.699,-2200,106.3063,42194.04
27-07-2023,SYNGENE,0.024465,9:35:00,792.2551,-2200,421.4286,67179.93
28-07-2023,BHARATFORG,0.0259,9:25:00,899.5372,-2200,321.8182,57991.64
